epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,692.553,0.92247,3.06123,1.3573,0.48523,0.44617,0.38356,0.28292,0.88822,2.22004,1.42948,0.000254817,0.000254817,0.000254817
2,749.073,0.9451,2.01542,1.35299,0.46513,0.52769,0.50221,0.35963,1.03362,1.63883,1.50861,0.000501029,0.000501029,0.000501029
3,805.558,0.95985,1.77547,1.35722,0.52071,0.47771,0.47746,0.32849,0.99314,2.04448,1.58219,0.000737091,0.000737091,0.000737091
4,861.487,0.96107,1.6478,1.35971,0.42453,0.43904,0.41368,0.28983,1.02193,1.93549,1.57496,0.000723321,0.000723321,0.000723321
5,918.286,0.93295,1.50246,1.33167,0.53124,0.58441,0.5744,0.43004,0.92133,1.60303,1.45059,0.000708095,0.000708095,0.000708095
6,974.885,0.91934,1.42632,1.32795,0.6275,0.58837,0.62329,0.45884,0.90343,1.3197,1.42285,0.000692869,0.000692869,0.000692869
7,1030.88,0.89179,1.34237,1.31215,0.63126,0.61421,0.63488,0.48371,0.87927,1.34793,1.42425,0.000677643,0.000677643,0.000677643
8,1086.48,0.89666,1.28621,1.30008,0.57847,0.63871,0.61508,0.46492,0.84157,1.42358,1.38154,0.000662417,0.000662417,0.000662417
9,1141.99,0.86962,1.22833,1.28702,0.69776,0.65598,0.69006,0.52784,0.87429,1.32505,1.43119,0.00064719,0.00064719,0.00064719
10,1197.63,0.84978,1.15574,1.27717,0.73124,0.57853,0.65274,0.50217,0.8457,1.27086,1.43851,0.000631964,0.000631964,0.000631964
11,1252.84,0.86116,1.13629,1.28126,0.63562,0.72426,0.67875,0.50517,0.82026,1.20118,1.34367,0.000616738,0.000616738,0.000616738
12,1308.39,0.84263,1.08902,1.27104,0.65841,0.65128,0.67756,0.52474,0.84256,1.23666,1.38023,0.000601512,0.000601512,0.000601512
13,1364.45,0.82112,1.04963,1.24744,0.64925,0.6613,0.66634,0.51895,0.81368,1.18885,1.37258,0.000586286,0.000586286,0.000586286
14,1419.74,0.80737,1.03497,1.24252,0.68018,0.67651,0.70087,0.54152,0.76559,1.12151,1.33032,0.000571059,0.000571059,0.000571059
15,1475.21,0.82341,0.98797,1.25301,0.6734,0.65635,0.70605,0.54999,0.79245,1.19772,1.34698,0.000555833,0.000555833,0.000555833
16,1530.67,0.80929,0.96561,1.24307,0.70189,0.63386,0.70118,0.52495,0.79717,1.18053,1.34059,0.000540607,0.000540607,0.000540607
17,1585.86,0.79715,0.92793,1.23955,0.66908,0.65175,0.71094,0.55258,0.76886,1.1139,1.32371,0.000525381,0.000525381,0.000525381
18,1641.4,0.78772,0.93278,1.22612,0.70406,0.65582,0.7142,0.55543,0.79092,1.17214,1.38574,0.000510155,0.000510155,0.000510155
19,1697.35,0.78907,0.91102,1.22629,0.68944,0.70365,0.73167,0.55653,0.77747,1.10889,1.33466,0.000494928,0.000494928,0.000494928
20,1753.01,0.7676,0.8732,1.2153,0.62328,0.77234,0.75688,0.5909,0.78511,1.01668,1.34565,0.000479702,0.000479702,0.000479702
21,1808.42,0.75496,0.82862,1.20386,0.68463,0.7012,0.74775,0.58349,0.79468,1.0237,1.35048,0.000464476,0.000464476,0.000464476
22,1863.99,0.74445,0.84206,1.19896,0.66721,0.72895,0.75741,0.59512,0.77344,0.99564,1.3535,0.00044925,0.00044925,0.00044925
23,1919.69,0.74892,0.82486,1.19876,0.71096,0.70315,0.72011,0.5681,0.74131,1.0573,1.28804,0.000434024,0.000434024,0.000434024
24,1975.27,0.74629,0.81196,1.19772,0.69457,0.66963,0.7284,0.55777,0.79115,1.09231,1.35609,0.000418797,0.000418797,0.000418797
25,2031.02,0.73307,0.7656,1.18447,0.70576,0.76949,0.76707,0.6008,0.76049,0.99747,1.32567,0.000403571,0.000403571,0.000403571
26,2086.92,0.73303,0.75845,1.18417,0.65353,0.7678,0.71813,0.545,0.77831,1.06827,1.31747,0.000388345,0.000388345,0.000388345
27,2142.1,0.71921,0.74102,1.17071,0.70665,0.74385,0.75941,0.5869,0.75895,1.00732,1.31967,0.000373119,0.000373119,0.000373119
28,2197.59,0.72188,0.7427,1.17656,0.63342,0.79377,0.72355,0.56332,0.75812,1.0047,1.30489,0.000357893,0.000357893,0.000357893
29,2253.26,0.71717,0.7203,1.17691,0.63805,0.71172,0.72892,0.56818,0.73524,1.04976,1.29095,0.000342666,0.000342666,0.000342666
30,2308.3,0.70053,0.69282,1.15746,0.70401,0.7683,0.76803,0.60118,0.74944,0.92664,1.34385,0.00032744,0.00032744,0.00032744
31,2364.95,0.70205,0.69422,1.16169,0.73768,0.72962,0.75859,0.58765,0.76901,1.0306,1.3289,0.000312214,0.000312214,0.000312214
32,2420.11,0.68101,0.64275,1.14985,0.76591,0.74486,0.77282,0.59979,0.75065,0.9487,1.31733,0.000296988,0.000296988,0.000296988
33,2475.49,0.6966,0.66087,1.15969,0.74878,0.69453,0.75828,0.58994,0.77582,0.98383,1.33065,0.000281762,0.000281762,0.000281762
34,2530.66,0.68198,0.65622,1.15201,0.74402,0.73559,0.75266,0.58229,0.76506,0.98598,1.35086,0.000266535,0.000266535,0.000266535
35,2585.84,0.67646,0.62574,1.14571,0.67726,0.77297,0.77359,0.59426,0.76772,0.97632,1.34837,0.000251309,0.000251309,0.000251309
36,2641.17,0.66479,0.63258,1.14009,0.70518,0.77229,0.77284,0.59903,0.71639,0.97292,1.29702,0.000236083,0.000236083,0.000236083
37,2696.41,0.66812,0.6208,1.13875,0.70917,0.74044,0.76352,0.59056,0.73707,0.95514,1.32812,0.000220857,0.000220857,0.000220857
38,2751.88,0.64941,0.59339,1.12405,0.75336,0.75065,0.76032,0.59865,0.73059,0.97851,1.31005,0.000205631,0.000205631,0.000205631
39,2807.32,0.64796,0.58355,1.12087,0.80394,0.74862,0.78645,0.62345,0.74001,0.92954,1.3254,0.000190404,0.000190404,0.000190404
40,2863.24,0.64511,0.59123,1.12626,0.75119,0.73016,0.77588,0.60834,0.73674,0.94876,1.34606,0.000175178,0.000175178,0.000175178
41,2918.1,0.54899,0.4633,1.06515,0.75104,0.74428,0.78253,0.61661,0.74865,0.88279,1.34723,0.000159952,0.000159952,0.000159952
42,2969.24,0.5295,0.4333,1.0485,0.71889,0.7607,0.77196,0.61841,0.74247,0.92555,1.33636,0.000144726,0.000144726,0.000144726
43,3021.93,0.51793,0.41833,1.04407,0.69426,0.79706,0.76668,0.60387,0.73788,0.97166,1.34376,0.0001295,0.0001295,0.0001295
44,3074.55,0.51627,0.41371,1.03271,0.79188,0.70486,0.77868,0.61609,0.74166,0.91098,1.35294,0.000114273,0.000114273,0.000114273
45,3127.38,0.50743,0.39811,1.02973,0.73143,0.7579,0.77839,0.61279,0.74984,0.91781,1.38158,9.90472e-05,9.90472e-05,9.90472e-05
46,3178.57,0.49993,0.38532,1.02375,0.7438,0.75947,0.78228,0.61748,0.72841,0.90563,1.3286,8.3821e-05,8.3821e-05,8.3821e-05
47,3231.13,0.4882,0.36882,1.01109,0.74612,0.76772,0.78257,0.61807,0.73366,0.89179,1.35175,6.85948e-05,6.85948e-05,6.85948e-05
48,3283.56,0.48073,0.35276,1.00505,0.73392,0.78203,0.79233,0.63219,0.72633,0.87161,1.34889,5.33686e-05,5.33686e-05,5.33686e-05
49,3336.88,0.47738,0.35031,1.00898,0.79624,0.71679,0.79028,0.62447,0.72669,0.87384,1.33593,3.81424e-05,3.81424e-05,3.81424e-05
50,3388.89,0.47464,0.3446,1.00219,0.70648,0.79735,0.79012,0.63111,0.72827,0.89385,1.33354,2.29162e-05,2.29162e-05,2.29162e-05
